cov,t,theta_control,theta_sensor,x_control,x_sensor,y_control,y_sensor
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:28.172486,[4.44007795],[4.81647036],[-1586.12149521],[-144.16584103],[-1340.99653496],[-248.16357721]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:28.243824,[4.43690462],[4.81569219],[-1611.33985047],[-143.37058819],[-1407.3460186],[-255.80542355]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:28.317810,[4.44007795],[4.81520795],[-1624.97272272],[-142.53127555],[-1480.36611945],[-263.92040603]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:28.389214,[4.43690462],[4.81349438],[-1650.19107799],[-141.72924326],[-1546.71560308],[-271.75910611]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:28.461913,[4.43690462],[4.81373228],[-1650.19107799],[-140.90620979],[-1546.71560308],[-279.86210226]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:28.533629,[4.43690462],[4.81474927],[-1650.19107799],[-140.07340709],[-1546.71560308],[-288.0104211]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:28.605392,[4.43690462],[4.81310537],[-1650.19107799],[-139.20818774],[-1546.71560308],[-296.50222654]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:28.678413,[4.43690462],[4.81031749],[-1650.19107799],[-138.32535172],[-1546.71560308],[-305.36156367]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:28.750340,[4.43690462],[4.81533894],[-1650.19107799],[-137.43466893],[-1546.71560308],[-314.19960053]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:28.822884,[4.44007795],[4.81818774],[-1663.2180448],[-136.48312297],[-1616.49036612],[-323.28313455]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:28.904548,[4.43690462],[4.81996937],[-1691.95524034],[-135.37763379],[-1692.09791724],[-333.60552552]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:28.977121,[4.44007795],[4.82186933],[-1704.98220715],[-134.36850556],[-1761.87268027],[-342.86710814]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:29.049329,[4.44007795],[4.82399603],[-1704.98220715],[-133.33826273],[-1761.87268027],[-352.14889372]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:29.121709,[4.43690462],[4.82897015],[-1730.20056241],[-132.24873109],[-1828.22216391],[-361.65683301]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:29.193690,[4.44007795],[4.82936275],[-1743.22752923],[-131.11374428],[-1897.99692695],[-371.33184007]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:29.265090,[4.43690462],[4.82578002],[-1768.44588449],[-130.00073825],[-1964.34641058],[-380.95205579]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:29.336696,[4.44007795],[4.83015419],[-1781.4728513],[-128.86752335],[-2034.12117362],[-390.71311099]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:29.408630,[4.44007795],[4.83070346],[-1781.4728513],[-127.70213022],[-2034.12117362],[-400.54009346]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:29.480909,[4.421038],[4.83157075],[-1792.94413444],[-126.58004041],[-2044.87290402],[-409.94496293]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:29.553770,[4.33218487],[4.75757578],[-1792.72530961],[-125.76107847],[-2045.56849298],[-419.88746381]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:29.637144,[4.17986523],[4.62070065],[-1792.01365321],[-126.03755319],[-2045.59088302],[-431.77631597]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:29.710847,[4.03706556],[4.46891017],[-1791.68644211],[-127.8385429],[-2045.56169857],[-442.42233732]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:29.784584,[3.89109257],[4.30514535],[-1791.68644211],[-131.2851391],[-2045.56169857],[-452.63901386]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:29.856667,[3.75146623],[4.11470263],[-1791.68644211],[-136.11004028],[-2045.56169857],[-461.41942436]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:29.929961,[3.60866656],[3.96983078],[-1791.99620746],[-142.58460718],[-2045.45231728],[-469.58970713]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:30.001955,[3.48808018],[3.84441314],[-1791.70507175],[-149.64828593],[-2045.40708844],[-476.37812437]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:30.074372,[3.44682694],[3.77252797],[-1794.31001985],[-156.87919793],[-2042.52808516],[-482.07018959]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:30.147725,[3.44365361],[3.77292805],[-1837.85938337],[-165.25336344],[-2052.00740251],[-488.19049114]
"[[0 0 0]
 [0 0 0]
 [0 0 0]]",2020-06-28 17:25:30.221133,[3.44682694],[3.76588139],[-1903.42937394],[-174.28213171],[-2079.18820011],[-494.74329131]
