drive name,time,left_enc,right_enc,euler_x,euler_y,euler_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
acceleration_sample_1,1595172311.706793,0,0,,,,,,,0.54,9.61,1.77,-0.0625,0.1875,0.0625
acceleration_sample_1,1595172311.776364,0,0,,,,,,,0.56,9.51,1.75,-0.0625,0.0625,0.125
acceleration_sample_1,1595172311.846529,0,0,,,,,,,0.55,9.61,1.76,0.0625,-0.1875,0.0
acceleration_sample_1,1595172311.916396,0,0,,,,,,,0.57,9.56,1.78,-0.1875,0.0,-0.0625
acceleration_sample_1,1595172311.986499,0,0,,,,,,,0.55,9.58,1.74,-0.125,-0.125,0.0625
acceleration_sample_1,1595172312.057495,0,0,,,,,,,0.54,9.59,1.78,-0.125,-0.0625,0.0
acceleration_sample_1,1595172312.126942,0,0,,,,,,,0.56,9.55,1.77,0.0,-0.0625,-0.0625
acceleration_sample_1,1595172312.19745,0,0,,,,,,,0.57,9.61,1.74,-0.0625,-0.125,-0.0625
acceleration_sample_1,1595172312.267889,0,0,,,,,,,0.56,9.53,1.75,-0.125,-0.125,0.0625
acceleration_sample_1,1595172312.337411,0,0,,,,,,,0.56,9.61,1.75,-0.125,-0.125,0.125
acceleration_sample_1,1595172312.407426,0,0,,,,,,,0.56,9.57,1.78,0.0,-0.0625,0.0
acceleration_sample_1,1595172312.477383,0,0,,,,,,,0.56,9.55,1.77,-0.125,0.0,0.125
acceleration_sample_1,1595172312.547685,0,0,,,,,,,0.55,9.62,1.75,0.1875,0.0625,0.0625
acceleration_sample_1,1595172312.617673,0,0,,,,,,,0.55,9.51,1.75,-0.1875,0.0625,0.0
acceleration_sample_1,1595172312.687772,0,0,,,,,,,0.56,9.62,1.75,0.0,0.0625,-0.0625
acceleration_sample_1,1595172312.758509,0,0,,,,,,,0.55,9.54,1.73,0.125,0.0625,0.0
acceleration_sample_1,1595172312.828461,0,0,,,,,,,0.56,9.59,1.76,0.0625,0.0625,0.125
acceleration_sample_1,1595172312.897856,0,0,,,,,,,0.55,9.62,1.75,0.0,0.0625,0.0
acceleration_sample_1,1595172312.96776,0,0,,,,,,,0.57,9.52,1.76,0.0,-0.3125,0.0625
acceleration_sample_1,1595172313.037725,0,0,,,,,,,0.56,9.63,1.76,-0.25,0.0,0.0
acceleration_sample_1,1595172313.108608,0,0,,,,,,,0.56,9.53,1.75,-0.1875,0.25,-0.125
acceleration_sample_1,1595172313.178088,0,0,,,,,,,0.53,9.6,1.76,-0.0625,-0.0625,0.0
acceleration_sample_1,1595172313.248059,0,0,,,,,,,0.55,9.58,1.75,-0.125,-0.0625,-0.0625
acceleration_sample_1,1595172313.318453,0,0,,,,,,,0.55,9.56,1.76,0.0,0.125,0.0
acceleration_sample_1,1595172313.388963,0,0,,,,,,,0.54,9.62,1.76,-0.125,0.125,0.0625
acceleration_sample_1,1595172313.459423,0,0,,,,,,,0.55,9.53,1.77,0.0,0.0,0.0
acceleration_sample_1,1595172313.528897,0,0,,,,,,,0.54,9.61,1.76,-0.0625,-0.125,-0.0625
acceleration_sample_1,1595172313.598784,0,0,,,,,,,0.54,9.55,1.74,-0.1875,0.125,0.0
