drive name,time,left_enc,right_enc,euler_x,euler_y,euler_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
sample_drive_3,2020-05-31 00:22:06.705190,-7,6,349.5625,0.9375,88.75,13.0625,-26.6875,11.1875,0.05,9.38,0.11,0.0625,0.0625,-0.0625
sample_drive_3,2020-05-31 00:22:08.723473,-7,6,349.5625,0.9375,88.75,13.5,-26.25,11.1875,0.06,9.35,0.15,0.0,0.0625,0.0
sample_drive_3,2020-05-31 00:22:10.738758,-7,6,349.5625,0.9375,88.75,13.0625,-27.0625,11.1875,0.08,9.37,0.14,0.0625,0.0,-0.0625
sample_drive_3,2020-05-31 00:22:12.756296,-7,6,349.5625,0.9375,88.75,13.0625,-26.6875,10.0,0.06,9.38,0.13,0.0,0.0,-0.0625
sample_drive_3,2020-05-31 00:22:14.773537,-7,6,349.5625,0.9375,88.75,13.875,-26.25,10.75,0.07,9.37,0.12,-0.125,-0.0625,0.0625
sample_drive_3,2020-05-31 00:22:32.290686,0,0,349.5625,0.9375,88.75,13.875,-26.25,9.5625,0.05,9.37,0.16,0.125,0.0,0.0
sample_drive_3,2020-05-31 00:22:34.306297,39,-38,3.1875,0.3125,88.75,16.375,-27.0625,7.75,-0.7,9.54,0.28,-1.125,2.125,0.75
sample_drive_3,2020-05-31 00:22:36.322455,126,-125,39.6875,-0.3125,87.125,15.5625,-26.0,-4.375,0.08,9.42,0.2,0.0625,-0.0625,-0.1875
sample_drive_3,2020-05-31 00:22:38.339234,256,-255,83.125,-0.9375,86.875,10.1875,-24.25,-16.1875,-0.02,9.34,0.22,-0.25,-0.125,0.125
sample_drive_3,2020-05-31 00:22:40.353865,429,-425,130.9375,-0.4375,86.8125,-2.25,-23.6875,-20.0625,-0.37,9.63,-0.55,-1.25,-111.4375,-3.25
sample_drive_3,2020-05-31 00:22:42.368559,491,-492,162.375,1.25,87.1875,-16.0,-24.0,-14.0625,-0.1,9.47,0.09,-1.25,69.25,-0.25
sample_drive_3,2020-05-31 00:22:44.385766,374,-372,123.0625,0.75,88.375,-3.25,-24.5,-19.5625,-0.83,8.8,0.46,-5.875,121.625,11.6875
sample_drive_3,2020-05-31 00:22:46.401841,251,-250,75.125,0.875,88.25,12.0625,-25.5625,-15.75,0.33,9.3,0.29,-0.625,1.0,1.125
sample_drive_3,2020-05-31 00:22:48.416692,-7,8,341.9375,1.4375,88.6875,12.0625,-26.75,12.6875,0.06,9.37,0.11,0.0625,-0.125,-0.0625
sample_drive_3,2020-05-31 00:22:50.432129,-7,8,342.375,1.0,88.9375,11.375,-26.375,12.1875,0.05,9.39,0.09,-0.125,0.125,0.0
sample_drive_3,2020-05-31 00:22:52.448519,-7,8,342.375,1.0,88.9375,11.6875,-26.75,13.0,0.06,9.37,0.08,0.0,0.125,0.0
sample_drive_3,2020-05-31 00:22:54.468322,-7,8,342.375,1.0,88.9375,11.0,-27.5,13.0,0.07,9.37,0.08,-0.0625,-0.125,0.0
sample_drive_3,2020-05-31 00:22:56.483241,-7,8,342.375,1.0,88.9375,11.375,-26.375,12.1875,0.07,9.37,0.1,0.125,-0.0625,0.0
sample_drive_3,2020-05-31 00:22:58.502307,-7,8,342.375,1.0,88.9375,11.375,-26.375,11.75,0.07,9.37,0.08,0.0,0.0,-0.125
sample_drive_3,2020-05-31 00:23:00.520648,-7,8,342.375,1.0,88.9375,11.0,-27.1875,13.375,0.05,9.35,0.1,0.0,-0.0625,0.0
sample_drive_3,2020-05-31 00:28:36.233405,0,0,342.375,1.0,88.9375,-3.5625,-42.75,13.875,0.06,9.37,0.1,-0.0625,0.0625,0.0
sample_drive_3,2020-05-31 00:28:38.251209,40,-38,356.0,0.5,88.8125,0.875,-25.25,7.5,0.05,9.04,0.27,-1.25,-0.3125,0.0625
sample_drive_3,2020-05-31 00:28:40.268683,126,-124,29.4375,-0.375,87.8125,16.1875,-26.25,-1.75,-0.09,9.34,0.23,-0.1875,-0.25,-0.375
sample_drive_3,2020-05-31 00:28:42.285269,256,-254,74.4375,-0.9375,86.8125,13.0,-24.375,-15.5625,-0.08,9.36,0.24,-0.375,0.125,-0.125
